,word,ico_english,ico_turkish,ico_indonesian,ico_hungarian,ico_arabic,ico_vietnamese,ico_rating_2022,ico_rating_2017
213,crown,0.3056879,0.31839758,0.33214888,0.31608832,0.32112727,0.3179021,,0.9
214,crown,0.30021992,0.31665945,0.32687786,0.32584617,0.32510525,0.31969854,,0.9
215,crown,0.29506454,0.30033877,0.32048833,0.30755794,0.30083564,0.308398,,0.9
216,crown,0.34847805,0.3372831,0.3563763,0.34744558,0.34263286,0.3486458,,0.9
217,crown,0.3093017,0.31891263,0.32364652,0.32070535,0.31876436,0.32531995,,0.9
218,crown,0.26111525,0.27001634,0.2706429,0.2803672,0.28699994,0.26487538,,0.9
219,crown,0.30129233,0.2980441,0.31254038,0.30718502,0.30504465,0.30310518,,0.9
220,hairpin,0.26512614,0.27560836,0.27993935,0.26864073,0.27701572,0.28373027,,0.2
221,hairpin,0.26007125,0.2596548,0.27914223,0.2624128,0.25567287,0.28114703,,0.2
222,hairpin,0.31536752,0.30695102,0.3139816,0.30481446,0.29611832,0.3070958,,0.2
223,hairpin,0.26489997,0.26877996,0.27960455,0.27177852,0.26102588,0.27319983,,0.2
224,hairpin,0.28011122,0.29580632,0.2997925,0.2967915,0.2798524,0.29527366,,0.2
225,hairpin,0.2755969,0.28856555,0.29367167,0.2846938,0.2780116,0.2906292,,0.2
226,hairpin,0.2568128,0.2511837,0.26380873,0.25551927,0.2385709,0.2621062,,0.2
227,hairpin,0.25093377,0.25350562,0.2648503,0.25727022,0.24670921,0.26357993,,0.2
228,hairpin,0.2736721,0.27969426,0.28306666,0.2740727,0.2770541,0.28206787,,0.2
229,hairpin,0.3171655,0.30006796,0.3068471,0.30347624,0.30555078,0.32800138,,0.2
230,hairpin,0.29669148,0.30621755,0.31290895,0.3056982,0.2767261,0.30114076,,0.2
231,hairpin,0.24765266,0.25927082,0.25764838,0.25365257,0.24313714,0.2613644,,0.2
232,hairpin,0.24882819,0.24731717,0.26925623,0.2553181,0.23973492,0.25970623,,0.2
233,hairpin,0.29371417,0.3021494,0.30961108,0.29875657,0.289852,0.3113263,,0.2
234,hairpin,0.3310048,0.3340412,0.3453098,0.34568205,0.33191368,0.34097037,,0.2
235,tuba,0.25416967,0.23996283,0.2725653,0.27150318,0.24979553,0.25852385,3.7,1.3
236,tuba,0.24896434,0.23767494,0.26884514,0.26433823,0.24502186,0.2564884,3.7,1.3
237,tuba,0.30509543,0.28716007,0.30880332,0.31180796,0.30057842,0.29667303,3.7,1.3
238,tuba,0.27017564,0.2492061,0.2768332,0.27427197,0.2727742,0.26078078,3.7,1.3
239,tuba,0.2539208,0.23564018,0.2577988,0.25914916,0.25372714,0.24847105,3.7,1.3
240,tuba,0.2550181,0.23559403,0.26213837,0.26210618,0.25325733,0.24895185,3.7,1.3
241,tuba,0.26025763,0.23994994,0.269087,0.26410738,0.25315666,0.2465198,3.7,1.3
242,tuba,0.29506963,0.27023506,0.29341027,0.29087076,0.2857029,0.2783491,3.7,1.3
243,tuba,0.2693,0.251377,0.27692184,0.2662861,0.26331,0.2556841,3.7,1.3
244,tuba,0.29271972,0.27244362,0.30248648,0.29904795,0.29500413,0.28420386,3.7,1.3
245,tuba,0.2658006,0.241896,0.26595592,0.25956994,0.24945322,0.2500142,3.7,1.3
246,tuba,0.25631073,0.23663823,0.2599732,0.26176852,0.24659844,0.24507196,3.7,1.3
247,tuba,0.26115385,0.24213143,0.2584485,0.25972047,0.25124902,0.24986878,3.7,1.3
